gamma,arm,n_total,n_estimable,unestimable_rate,bias_twfe,bias_cs,bias_cs_mcse,rmse_twfe,rmse_cs,conventional_coverage,sensitivity_coverage_m1,mean_original_ci_width,mean_sensitivity_ci_width_m1,false_definitive_claim_rate,unidentified_rate,supported_positive_rate,negative_claim_rate_m1,pretrend_test_power,slope_diff_test_power,claim_accuracy,registered_claim_accuracy,conditional_claim_accuracy_m1,claim_accuracy_mcse,conditional_claim_accuracy_m1_mcse,false_definitive_mcse,robust_value_inf_share,mean_secs_per_rep
0.0,positive,2000,2000,0.0,-0.0005045846843355177,0.000392693112964042,0.0006193257910954818,0.04587302962781262,0.02769295062786813,0.944,1.0,0.10749896701397549,0.2081626960107973,0.0,0.0055,0.9945,0.0,0.048,0.0495,1.0,1.0,0.9945,0.0,0.0016537457482938467,0.0,0.643,23.40861807000637
0.75,positive,2000,2000,0.0,0.46516439540633053,0.01648016538841116,0.0006120056086036673,0.46638446952817475,0.03194249568034899,0.909,0.9985,0.10716017865452983,0.22652555748096823,0.995,0.005,0.995,0.0,0.768,1.0,0.005,0.005,0.9935,0.0015771810295587506,0.0017969070649312877,0.0015771810295587513,0.608,23.791934950232505
1.5,positive,2000,2000,0.0,0.7065832733781102,0.026188314938866142,0.0006113925260862118,0.7070429594353363,0.03785572189807565,0.837,0.999,0.10756090560574949,0.24346070890910654,0.994,0.006,0.994,0.0,0.991,1.0,0.006,0.006,0.993,0.0017268468374467957,0.0018642692938521525,0.0017268468374467964,0.5405,23.99389210832119
0.0,zero,2000,2000,0.0,0.000440471286627671,0.0002585187162389435,0.0006101410166584559,0.046006077164740505,0.027280738265018874,0.956,0.999,0.10739486935203682,0.20877783823532794,0.044,0.999,0.0005,0.0005,0.048,0.052,0.956,0.956,0.999,0.004586065852122058,0.0007067531393633852,0.0045860658521220555,0.0,24.22342312383652
0.75,zero,2000,2000,0.0,0.464425033058148,0.0163729762348396,0.0005968630636144681,0.465553134407379,0.03130829185191061,0.9185,0.9995,0.10759834110458295,0.22706185324775474,0.0005,0.9995,0.0005,0.0,0.7575,1.0,0.9995,0.9995,0.9995,0.000499874984371065,0.000499874984371065,0.0004998749843710925,0.0,23.399702347397803
1.5,zero,2000,2000,0.0,0.7067288824784437,0.02540162872063985,0.0006023970368916291,0.7072089570643803,0.03702221278614785,0.855,0.9975,0.10759359577079329,0.24298070054101725,0.0025,0.9975,0.0025,0.0,0.9875,1.0,0.9975,0.9975,0.9975,0.001116635571706353,0.001116635571706353,0.001116635571706365,0.0,24.100804863095284
