spec_id,package,package_version,formula,vcov,estimand,term,estimate,std_error,ci95_low,ci95_high,p_value,interpretation
naive_did,pyfixest,0.60.0,log_volume ~ treated + post + did,hetero,Protocol-day naive DiD without fixed effects,did,0.4116991342312618,0.22474883959581685,-0.02954222939020834,0.852940497852732,0.06739139140154604,Package-level DiD cross-check. Shilin uses this for reproducibility; Claire owns the full staggered cross-chain DiD estimator.
twfe_unit_date_fe,pyfixest,0.60.0,log_volume ~ did | unit + date_str,hetero,Protocol-day TWFE DiD with unit and date fixed effects,did,0.4116991342312556,0.2753661276007212,-0.12922319207440613,0.9526214605369173,0.13547429305895053,Package-level DiD cross-check. Shilin uses this for reproducibility; Claire owns the full staggered cross-chain DiD estimator.
