control_rule,included_controls,dropped_control,window_days,estimate,std_error,ci95_low,ci95_high,p_value,worked_decision,n_rows,n_units,n_dates,stress_test,interpretation
all_controls,meteora_combined;orca;raydium,,90,0.4116991342312806,0.27536612760070167,-0.12801847586609472,0.9514167443286559,0.1348890690674127,no_or_uncertain,724,4,181,leave_one_control_out,Estimate remains positive after this control-set perturbation.
drop_meteora_combined,orca;raydium,meteora_combined,90,1.27904735854732,0.07303411339444306,1.1359004962942116,1.4221942208004286,1.1399778321525945e-68,yes,543,3,181,leave_one_control_out,Estimate remains positive after this control-set perturbation.
drop_orca,meteora_combined;raydium,orca,90,0.14869921199038055,0.3880635494630151,-0.611905344957129,0.90930376893789,0.7015843552607963,no_or_uncertain,543,3,181,leave_one_control_out,Estimate remains positive after this control-set perturbation.
drop_raydium,meteora_combined;orca,raydium,90,-0.19264916784422192,0.3824011550752225,-0.942155431791658,0.5568570961032141,0.6144102606076278,no_or_uncertain,543,3,181,leave_one_control_out,Estimate is sensitive to this control-set perturbation.
single_control_meteora_combined,meteora_combined,orca;raydium,90,-1.3229973144013334,0.6092206004203063,-2.517069691225134,-0.12892493757753298,0.02988412975517029,no_or_uncertain,362,2,181,single_control_only,Single-control specification weakens or reverses the estimate.
single_control_orca,orca,meteora_combined;raydium,90,0.9376989787124337,0.07490199593370563,0.7908910666823706,1.0845068907424966,5.8762110088610536e-36,yes,362,2,181,single_control_only,Single-control specification remains positive.
single_control_raydium,raydium,meteora_combined;orca,90,1.6203957383823302,0.08573989680483421,1.452345540644855,1.7884459361198053,1.1630075923332794e-79,yes,362,2,181,single_control_only,Single-control specification remains positive.
