arm,method,n_runs,n_valid,unestimable_rate,true_att_mean,bias,mcse_bias,relative_bias,rmse,coverage_95,mcse_coverage,false_positive_rate,false_negative_rate,sign_correctness,claim_accuracy
heterogeneous,cs_att,2000,2000,0.0,0.014876677740129357,0.0003479552092341341,0.0003937853827314143,0.023389308776618597,0.017609652500995956,0.9375,0.005412658773652742,,0.82,0.8125,0.179
heterogeneous,twfe,2000,2000,0.0,0.014876677740129357,3.8094362055852304e-05,0.0001148177426739644,0.0025606766995492545,0.005133663032560387,0.955,0.004635461142108735,,0.183,0.9985,0.817
homogeneous,cs_att,2000,2000,0.0,0.008369585091473184,1.583922714086769e-05,0.00038820509152130727,0.001892474593155696,0.01735672589672852,0.9375,0.005412658773652742,,0.8825,0.6945,0.112
homogeneous,twfe,2000,2000,0.0,0.008369585091473184,0.0002663552965774553,0.0001155621223328716,0.03182419363282588,0.005173663960487959,0.95,0.004873397172404485,,0.608,0.957,0.392
zero,cs_att,2000,2000,0.0,0.0,9.653864664224503e-05,0.00039209956245385267,,0.01753110696437691,0.936,0.00547284204047586,0.064,,,0.936
zero,twfe,2000,2000,0.0,0.0,-0.0004417104741785081,0.00011167175431719811,,0.005012364610325952,0.941,0.005268728499363013,0.059,,,0.941
