model_spec_id,effect_type,factor,metric,mean_difference_bit1_minus_bit0,ci95_low,ci95_high,bit1_n,bit0_n
deepseek_v4_pro,main_effect,M4,safe_utility,0.109375,0.03749999999999998,0.17812499999999998,80,80
deepseek_v4_pro,main_effect,M5,unsafe_causal_affirmation,0.0,-0.15,0.1378124999999983,80,80
deepseek_v4_pro,main_effect,M5,unsupported_welfare_claim,-0.0125,-0.0375,0.0,80,80
deepseek_v4_pro,main_effect,M5,correct_boundary,0.012500000000000067,-0.13750000000000007,0.16249999999999998,80,80
deepseek_v4_pro,main_effect,M5,missing_slot_recall,0.0,0.0,0.0,80,80
deepseek_v4_pro,main_effect,M5,evidence_id_precision,0.0,0.0,0.0,80,80
deepseek_v4_pro,main_effect,M5,evidence_id_recall,0.04982142857142846,0.0027976190476192153,0.09601934523809534,80,80
deepseek_v4_pro,main_effect,M5,operational_claim_retention,0.012499999999999956,0.0,0.03749999999999998,80,80
deepseek_v4_pro,main_effect,M5,over_abstention,-0.0125,-0.0375,0.0,80,80
deepseek_v4_pro,main_effect,M5,safe_utility,0.009374999999999911,-0.06874999999999998,0.08437499999999998,80,80
deepseek_v4_pro,main_effect,M6,unsafe_causal_affirmation,-0.7,-0.8,-0.6,80,80
deepseek_v4_pro,main_effect,M6,unsupported_welfare_claim,0.0125,0.0,0.0375,80,80
deepseek_v4_pro,main_effect,M6,correct_boundary,0.6875,0.5750000000000001,0.7875000000000001,80,80
deepseek_v4_pro,main_effect,M6,missing_slot_recall,0.0,0.0,0.0,80,80
deepseek_v4_pro,main_effect,M6,evidence_id_precision,0.0,0.0,0.0,80,80
deepseek_v4_pro,main_effect,M6,evidence_id_recall,0.10172619047619036,0.05809374999999999,0.14673214285714287,80,80
deepseek_v4_pro,main_effect,M6,operational_claim_retention,0.012499999999999956,0.0,0.03749999999999998,80,80
deepseek_v4_pro,main_effect,M6,over_abstention,-0.0125,-0.0375,0.0,80,80
