rel_week,term,coef,std_error,ci95_low,ci95_high,reference_week
-8,event_m8,1.416288539858264,0.5871403519388373,0.26549345005814295,2.567083629658385,-1
-7,event_m7,-0.48139430227798696,0.2651564799409547,-1.0011010029622582,0.0383123984062842,-1
-6,event_m6,-0.27455805376929243,0.2416840598654682,-0.7482588111056101,0.19914270356702524,-1
-5,event_m5,-0.2108195499519563,0.26282540823591277,-0.7259573500943453,0.3043182501904327,-1
-4,event_m4,-0.4265390580713606,0.26636164624398573,-0.9486078847095726,0.09552976856685136,-1
-3,event_m3,-0.6576672822216212,0.2884296089912064,-1.2229893158443859,-0.09234524859885662,-1
-2,event_m2,-0.4026318822485939,0.2532961873863264,-0.8990924095257937,0.09382864502860588,-1
-1,reference,0.0,0.0,0.0,0.0,-1
0,event_p0,0.5837219450240727,0.279401597679159,0.0360948135729211,1.1313490764752243,-1
1,event_p1,1.007680013648533,0.27080546768584524,0.4769012969842764,1.5384587303127897,-1
2,event_p2,0.6491530999511026,0.2898753790812338,0.08099735695188437,1.2173088429503207,-1
3,event_p3,0.9469331255214994,0.24807070288088565,0.4607145478749636,1.4331517031680354,-1
4,event_p4,0.9976124179418191,0.24773671921576632,0.5120484482789172,1.483176387604721,-1
5,event_p5,0.6940190288486585,0.23183603353404605,0.23962040312192828,1.1484176545753888,-1
6,event_p6,1.3629161301172674,0.3896060385598586,0.5992882945399446,2.1265439656945904,-1
7,event_p7,0.34886565284929616,0.25371357850520226,-0.1484129610209003,0.8461442667194926,-1
8,event_p8,0.9335780663261601,0.19174051720283095,0.5577666526086115,1.3093894800437087,-1
