rung,component_added,outcome,estimate,std_error,ci95_low,ci95_high,p_value,worked_decision,method,notes
L0,None: treated before-after means,log(1 + Pump ecosystem daily volume USD),0.6687211175877295,0.06269201966268693,0.5458447590488631,0.7915974761265958,,yes,"Two-sample pre/post mean difference, treated only, +/-90 days","This is the operational dashboard estimand: no control group, no fixed effects, no stakeholder metrics."
L1,+ control group: naive DiD,log(1 + daily volume USD),0.4116991342312515,0.22474883959581632,-0.02880859137654851,0.8522068598390515,0.066978431567946,no_or_uncertain,"OLS log_volume ~ treated + post + did, HC1",Adds Solana DEX controls but no unit/date fixed effects.
L2,+ two-way fixed effects,log(1 + daily volume USD),0.4116991342312808,0.2753661276007016,-0.12801847586609438,0.951416744328656,0.13488906906741246,no_or_uncertain,"OLS log_volume ~ did + unit FE + date FE, HC1",Market-level TWFE. Still an aggregate-volume estimand.
L3,+ dynamic event-study estimator,average post-event dynamic effect on log volume,0.8360532755809342,0.18592838344464518,0.4716336440294297,1.2004729071324387,,yes,Single-event dynamic TWFE/event-study proxy; staggered rung is partially vacuous for this application case.,The identification arm owns true staggered LP-DiD. Here L3 records the compatible single-event dynamic analogue.
L4,+ event-study/pre-trend diagnostics,average post-event dynamic effect on log volume,0.8360532755809342,0.18592838344464518,0.4716336440294297,1.2004729071324387,,pretrend_flagged,L3 dynamic effect plus pre-trend screen over treated x relative-week coefficients,Pre-trend risk detected; market-level volume estimates should not be read as clean causal evidence.
L5,+ token-level heterogeneity,source-coded high/critical risk probability: high concentration minus others,0.5237034458753915,0.019360070145224006,0.4857577083907525,0.5616491833600306,3.7477421454442e-161,retail_risk_higher,HuggingFace Pump.fun sentiment/risk sample; latest snapshot per mint; difference in high-risk rates by concentration proxy,"This audits H4 with token-level holder concentration and source-coded risk fields; it is a proxy association, not sniper causality. Dune early-buyer data remain a registered event-time validation layer."
L6,+ honest few-cluster inference,log(1 + daily volume USD),0.4116991342312808,0.2753661276007016,-1.3423157539376223,1.342315753937705,0.6875,no_or_uncertain,Exact Rademacher wild-cluster bootstrap over protocol units,Exact over 16 Rademacher assignments with 4 protocol clusters.
L7,+ data richness and stakeholder metric battery,stakeholder-dependent metric vector,0.4116991342312808,0.2753661276007016,-1.3423157539376223,1.342315753937705,0.6875,depends_on_stakeholder,L6 estimate interpreted through Result 1 stakeholder battery and data-availability ledger,"Aggregate activity is only one stakeholder metric; creator, retail fairness, security, UX, and community metrics are reported separately."
